Category,Sub-Category,total_sales
Furniture,Chairs,322822.731
Furniture,Tables,202810.628
Furniture,Bookcases,113813.1987
Furniture,Furnishings,89212.018
Office Supplies,Storage,219343.392
Office Supplies,Binders,200028.785
Office Supplies,Appliances,104618.403
Office Supplies,Paper,76828.304
Office Supplies,Supplies,46420.308
Office Supplies,Art,26705.41
Office Supplies,Envelopes,16128.046
Office Supplies,Labels,12347.726
Office Supplies,Fasteners,3001.96
Technology,Phones,327782.448
Technology,Machines,189238.631
Technology,Accessories,164186.7
Technology,Copiers,146248.094
