Order Date,Ship Mode,Segment,Region,Category,Sales
08/11/2017,Second Class,Consumer,South,Furniture,261.96
08/11/2017,Second Class,Consumer,South,Furniture,731.94
12/06/2017,Second Class,Corporate,West,Office Supplies,14.62
11/10/2016,Standard Class,Consumer,South,Furniture,957.5775
11/10/2016,Standard Class,Consumer,South,Office Supplies,22.368
09/06/2015,Standard Class,Consumer,West,Furniture,48.86
09/06/2015,Standard Class,Consumer,West,Office Supplies,7.28
09/06/2015,Standard Class,Consumer,West,Technology,907.152
09/06/2015,Standard Class,Consumer,West,Office Supplies,18.504
09/06/2015,Standard Class,Consumer,West,Office Supplies,114.9
09/06/2015,Standard Class,Consumer,West,Furniture,1706.184
09/06/2015,Standard Class,Consumer,West,Technology,911.424
15/04/2018,Standard Class,Consumer,South,Office Supplies,15.552
05/12/2017,Standard Class,Consumer,West,Office Supplies,407.976
22/11/2016,Standard Class,Home Office,Central,Office Supplies,68.81
22/11/2016,Standard Class,Home Office,Central,Office Supplies,2.544
11/11/2015,Standard Class,Consumer,Central,Office Supplies,665.88
13/05/2015,Second Class,Consumer,West,Office Supplies,55.5
27/08/2015,Second Class,Consumer,West,Office Supplies,8.56
27/08/2015,Second Class,Consumer,West,Technology,213.48
27/08/2015,Second Class,Consumer,West,Office Supplies,22.72
09/12/2017,Standard Class,Corporate,Central,Office Supplies,19.46
09/12/2017,Standard Class,Corporate,Central,Office Supplies,60.34
16/07/2018,Second Class,Consumer,East,Furniture,71.372
25/09/2016,Standard Class,Consumer,West,Furniture,1044.63
16/01/2017,Second Class,Consumer,West,Office Supplies,11.648
16/01/2017,Second Class,Consumer,West,Technology,90.57
17/09/2016,Standard Class,Consumer,East,Furniture,3083.43
17/09/2016,Standard Class,Consumer,East,Office Supplies,9.618
17/09/2016,Standard Class,Consumer,East,Furniture,124.2
17/09/2016,Standard Class,Consumer,East,Office Supplies,3.264
17/09/2016,Standard Class,Consumer,East,Office Supplies,86.304
17/09/2016,Standard Class,Consumer,East,Office Supplies,6.858
17/09/2016,Standard Class,Consumer,East,Office Supplies,15.76
19/10/2018,Second Class,Home Office,Central,Office Supplies,29.472
08/12/2017,First Class,Corporate,Central,Technology,1097.544
08/12/2017,First Class,Corporate,Central,Furniture,190.92
27/12/2016,Standard Class,Home Office,Central,Office Supplies,113.328
27/12/2016,Standard Class,Home Office,Central,Furniture,532.3992
27/12/2016,Standard Class,Home Office,Central,Furniture,212.058
27/12/2016,Standard Class,Home Office,Central,Technology,371.168
10/09/2018,Standard Class,Corporate,Central,Technology,147.168
17/07/2017,Standard Class,Corporate,West,Office Supplies,77.88
19/09/2018,Standard Class,Corporate,South,Office Supplies,95.616
11/03/2017,First Class,Corporate,Central,Technology,45.98
11/03/2017,First Class,Corporate,Central,Office Supplies,17.46
20/10/2015,Second Class,Consumer,Central,Office Supplies,211.96
20/06/2017,Standard Class,Consumer,East,Technology,45.0
20/06/2017,Standard Class,Consumer,East,Technology,21.8
18/04/2016,Standard Class,Consumer,Central,Office Supplies,38.22
18/04/2016,Standard Class,Consumer,Central,Office Supplies,75.18
18/04/2016,Standard Class,Consumer,Central,Furniture,6.16
18/04/2016,Standard Class,Consumer,Central,Furniture,89.99
11/12/2017,Standard Class,Corporate,East,Office Supplies,15.26
11/12/2017,Standard Class,Corporate,East,Technology,1029.95
17/06/2017,First Class,Consumer,East,Office Supplies,208.56
17/06/2017,First Class,Consumer,East,Office Supplies,32.4
17/06/2017,First Class,Consumer,East,Furniture,319.41
17/06/2017,First Class,Consumer,East,Office Supplies,14.56
17/06/2017,First Class,Consumer,East,Technology,30.0
17/06/2017,First Class,Consumer,East,Office Supplies,48.48
17/06/2017,First Class,Consumer,East,Office Supplies,1.68
24/11/2016,Standard Class,Consumer,West,Technology,13.98
24/11/2016,Standard Class,Consumer,West,Office Supplies,25.824
24/11/2016,Standard Class,Consumer,West,Office Supplies,146.73
24/11/2016,Standard Class,Consumer,West,Furniture,79.76
30/04/2016,Standard Class,Home Office,Central,Furniture,213.115
05/12/2015,Standard Class,Corporate,West,Office Supplies,1113.024
05/12/2015,Standard Class,Corporate,West,Technology,167.968
04/06/2017,First Class,Consumer,South,Office Supplies,75.88
18/09/2017,Standard Class,Consumer,East,Office Supplies,4.616
14/09/2018,Second Class,Consumer,Central,Office Supplies,19.05
26/04/2016,Standard Class,Consumer,South,Furniture,831.936
26/04/2016,Standard Class,Consumer,South,Furniture,97.04
26/04/2016,Standard Class,Consumer,South,Office Supplies,72.784
09/12/2018,First Class,Corporate,Central,Office Supplies,1.248
09/12/2018,First Class,Corporate,Central,Furniture,9.708
09/12/2018,First Class,Corporate,Central,Office Supplies,27.24
26/11/2015,Second Class,Consumer,Central,Furniture,19.3
12/06/2017,First Class,Corporate,South,Office Supplies,208.16
12/06/2017,First Class,Corporate,South,Office Supplies,16.74
12/10/2015,Standard Class,Consumer,West,Office Supplies,14.9
12/10/2015,Standard Class,Consumer,West,Office Supplies,21.39
03/09/2016,Standard Class,Corporate,South,Office Supplies,200.984
13/11/2018,First Class,Home Office,Central,Office Supplies,230.376
28/05/2018,Second Class,Consumer,South,Furniture,301.96
26/10/2018,Standard Class,Consumer,Central,Technology,19.99
26/10/2018,Standard Class,Consumer,Central,Office Supplies,6.16
05/04/2017,Second Class,Home Office,Central,Office Supplies,158.368
17/09/2017,Standard Class,Corporate,West,Office Supplies,20.1
17/09/2017,Standard Class,Corporate,West,Technology,73.584
17/09/2017,Standard Class,Corporate,West,Office Supplies,6.48
31/01/2016,Second Class,Consumer,Central,Office Supplies,12.96
31/01/2016,Second Class,Consumer,Central,Furniture,53.34
31/01/2016,Second Class,Consumer,Central,Office Supplies,32.96
06/11/2018,Standard Class,Home Office,West,Office Supplies,5.682
09/11/2018,Second Class,Home Office,East,Furniture,96.53
17/06/2018,First Class,Consumer,West,Office Supplies,51.312
06/09/2017,Standard Class,Corporate,Central,Office Supplies,77.88
29/08/2017,Standard Class,Home Office,Central,Office Supplies,64.624
29/08/2017,Standard Class,Home Office,Central,Technology,95.976
29/08/2017,Standard Class,Home Office,Central,Office Supplies,1.788
01/12/2017,Second Class,Consumer,Central,Office Supplies,23.92
13/11/2016,Standard Class,Consumer,West,Technology,238.896
13/11/2016,Standard Class,Consumer,West,Furniture,102.36
13/11/2016,Standard Class,Consumer,West,Office Supplies,36.882
23/11/2018,Standard Class,Consumer,South,Technology,74.112
23/11/2018,Standard Class,Consumer,South,Technology,27.992
23/11/2018,Standard Class,Consumer,South,Office Supplies,3.304
15/10/2016,Standard Class,Home Office,Central,Technology,339.96
25/12/2018,Standard Class,Corporate,East,Furniture,41.96
03/11/2017,Standard Class,Consumer,Central,Office Supplies,75.96
03/11/2017,Standard Class,Consumer,Central,Office Supplies,27.24
25/08/2015,Second Class,Consumer,East,Office Supplies,40.096
25/08/2015,Second Class,Consumer,East,Office Supplies,4.72
25/08/2015,Second Class,Consumer,East,Office Supplies,23.976
25/08/2015,Second Class,Consumer,East,Office Supplies,130.464
02/03/2016,Standard Class,Consumer,West,Furniture,787.53
05/04/2016,Standard Class,Corporate,South,Office Supplies,157.794
12/06/2017,First Class,Consumer,East,Furniture,47.04
12/06/2017,First Class,Consumer,East,Office Supplies,30.84
12/06/2017,First Class,Consumer,East,Office Supplies,226.56
12/06/2017,First Class,Consumer,East,Office Supplies,115.02
12/06/2017,First Class,Consumer,East,Technology,68.04
26/12/2015,Second Class,Home Office,Central,Furniture,600.558
20/09/2015,Standard Class,Consumer,Central,Furniture,617.7
05/11/2018,Standard Class,Consumer,West,Office Supplies,2.388
05/11/2018,Standard Class,Consumer,West,Office Supplies,243.992
06/11/2017,Second Class,Home Office,West,Furniture,81.424
06/11/2017,Second Class,Home Office,West,Furniture,238.56
02/02/2018,First Class,Corporate,East,Technology,59.97
02/02/2018,First Class,Corporate,East,Office Supplies,78.304
02/02/2018,First Class,Corporate,East,Office Supplies,21.456
13/10/2017,Standard Class,Consumer,West,Office Supplies,20.04
13/10/2017,Standard Class,Consumer,West,Office Supplies,35.44
13/10/2017,Standard Class,Consumer,West,Office Supplies,11.52
13/10/2017,Standard Class,Consumer,West,Office Supplies,4.02
13/10/2017,Standard Class,Consumer,West,Office Supplies,76.176
13/10/2017,Standard Class,Consumer,West,Office Supplies,65.88
13/10/2017,Standard Class,Consumer,West,Furniture,43.12
05/09/2017,Second Class,Corporate,East,Furniture,82.8
18/09/2018,Standard Class,Corporate,West,Office Supplies,8.82
18/09/2018,Standard Class,Corporate,West,Office Supplies,10.86
