Order Date,Ship Mode,Segment,Region,Category
08/11/2017,Second Class,Consumer,South,Furniture
08/11/2017,Second Class,Consumer,South,Furniture
12/06/2017,Second Class,Corporate,West,Office Supplies
11/10/2016,Standard Class,Consumer,South,Furniture
11/10/2016,Standard Class,Consumer,South,Office Supplies
09/06/2015,Standard Class,Consumer,West,Furniture
09/06/2015,Standard Class,Consumer,West,Office Supplies
09/06/2015,Standard Class,Consumer,West,Technology
09/06/2015,Standard Class,Consumer,West,Office Supplies
09/06/2015,Standard Class,Consumer,West,Office Supplies
09/06/2015,Standard Class,Consumer,West,Furniture
09/06/2015,Standard Class,Consumer,West,Technology
15/04/2018,Standard Class,Consumer,South,Office Supplies
05/12/2017,Standard Class,Consumer,West,Office Supplies
22/11/2016,Standard Class,Home Office,Central,Office Supplies
22/11/2016,Standard Class,Home Office,Central,Office Supplies
11/11/2015,Standard Class,Consumer,Central,Office Supplies
13/05/2015,Second Class,Consumer,West,Office Supplies
27/08/2015,Second Class,Consumer,West,Office Supplies
27/08/2015,Second Class,Consumer,West,Technology
27/08/2015,Second Class,Consumer,West,Office Supplies
09/12/2017,Standard Class,Corporate,Central,Office Supplies
09/12/2017,Standard Class,Corporate,Central,Office Supplies
16/07/2018,Second Class,Consumer,East,Furniture
25/09/2016,Standard Class,Consumer,West,Furniture
16/01/2017,Second Class,Consumer,West,Office Supplies
16/01/2017,Second Class,Consumer,West,Technology
17/09/2016,Standard Class,Consumer,East,Furniture
17/09/2016,Standard Class,Consumer,East,Office Supplies
17/09/2016,Standard Class,Consumer,East,Furniture
17/09/2016,Standard Class,Consumer,East,Office Supplies
17/09/2016,Standard Class,Consumer,East,Office Supplies
17/09/2016,Standard Class,Consumer,East,Office Supplies
17/09/2016,Standard Class,Consumer,East,Office Supplies
19/10/2018,Second Class,Home Office,Central,Office Supplies
08/12/2017,First Class,Corporate,Central,Technology
08/12/2017,First Class,Corporate,Central,Furniture
27/12/2016,Standard Class,Home Office,Central,Office Supplies
27/12/2016,Standard Class,Home Office,Central,Furniture
27/12/2016,Standard Class,Home Office,Central,Furniture
27/12/2016,Standard Class,Home Office,Central,Technology
10/09/2018,Standard Class,Corporate,Central,Technology
17/07/2017,Standard Class,Corporate,West,Office Supplies
19/09/2018,Standard Class,Corporate,South,Office Supplies
11/03/2017,First Class,Corporate,Central,Technology
11/03/2017,First Class,Corporate,Central,Office Supplies
20/10/2015,Second Class,Consumer,Central,Office Supplies
20/06/2017,Standard Class,Consumer,East,Technology
20/06/2017,Standard Class,Consumer,East,Technology
18/04/2016,Standard Class,Consumer,Central,Office Supplies
18/04/2016,Standard Class,Consumer,Central,Office Supplies
18/04/2016,Standard Class,Consumer,Central,Furniture
18/04/2016,Standard Class,Consumer,Central,Furniture
11/12/2017,Standard Class,Corporate,East,Office Supplies
11/12/2017,Standard Class,Corporate,East,Technology
17/06/2017,First Class,Consumer,East,Office Supplies
17/06/2017,First Class,Consumer,East,Office Supplies
17/06/2017,First Class,Consumer,East,Furniture
17/06/2017,First Class,Consumer,East,Office Supplies
17/06/2017,First Class,Consumer,East,Technology
17/06/2017,First Class,Consumer,East,Office Supplies
17/06/2017,First Class,Consumer,East,Office Supplies
24/11/2016,Standard Class,Consumer,West,Technology
24/11/2016,Standard Class,Consumer,West,Office Supplies
24/11/2016,Standard Class,Consumer,West,Office Supplies
24/11/2016,Standard Class,Consumer,West,Furniture
30/04/2016,Standard Class,Home Office,Central,Furniture
05/12/2015,Standard Class,Corporate,West,Office Supplies
05/12/2015,Standard Class,Corporate,West,Technology
04/06/2017,First Class,Consumer,South,Office Supplies
18/09/2017,Standard Class,Consumer,East,Office Supplies
14/09/2018,Second Class,Consumer,Central,Office Supplies
26/04/2016,Standard Class,Consumer,South,Furniture
26/04/2016,Standard Class,Consumer,South,Furniture
26/04/2016,Standard Class,Consumer,South,Office Supplies
09/12/2018,First Class,Corporate,Central,Office Supplies
09/12/2018,First Class,Corporate,Central,Furniture
09/12/2018,First Class,Corporate,Central,Office Supplies
26/11/2015,Second Class,Consumer,Central,Furniture
12/06/2017,First Class,Corporate,South,Office Supplies
12/06/2017,First Class,Corporate,South,Office Supplies
12/10/2015,Standard Class,Consumer,West,Office Supplies
12/10/2015,Standard Class,Consumer,West,Office Supplies
03/09/2016,Standard Class,Corporate,South,Office Supplies
13/11/2018,First Class,Home Office,Central,Office Supplies
28/05/2018,Second Class,Consumer,South,Furniture
26/10/2018,Standard Class,Consumer,Central,Technology
26/10/2018,Standard Class,Consumer,Central,Office Supplies
05/04/2017,Second Class,Home Office,Central,Office Supplies
17/09/2017,Standard Class,Corporate,West,Office Supplies
17/09/2017,Standard Class,Corporate,West,Technology
17/09/2017,Standard Class,Corporate,West,Office Supplies
31/01/2016,Second Class,Consumer,Central,Office Supplies
31/01/2016,Second Class,Consumer,Central,Furniture
31/01/2016,Second Class,Consumer,Central,Office Supplies
06/11/2018,Standard Class,Home Office,West,Office Supplies
09/11/2018,Second Class,Home Office,East,Furniture
17/06/2018,First Class,Consumer,West,Office Supplies
06/09/2017,Standard Class,Corporate,Central,Office Supplies
29/08/2017,Standard Class,Home Office,Central,Office Supplies
29/08/2017,Standard Class,Home Office,Central,Technology
29/08/2017,Standard Class,Home Office,Central,Office Supplies
01/12/2017,Second Class,Consumer,Central,Office Supplies
13/11/2016,Standard Class,Consumer,West,Technology
13/11/2016,Standard Class,Consumer,West,Furniture
13/11/2016,Standard Class,Consumer,West,Office Supplies
23/11/2018,Standard Class,Consumer,South,Technology
23/11/2018,Standard Class,Consumer,South,Technology
23/11/2018,Standard Class,Consumer,South,Office Supplies
15/10/2016,Standard Class,Home Office,Central,Technology
25/12/2018,Standard Class,Corporate,East,Furniture
03/11/2017,Standard Class,Consumer,Central,Office Supplies
03/11/2017,Standard Class,Consumer,Central,Office Supplies
25/08/2015,Second Class,Consumer,East,Office Supplies
25/08/2015,Second Class,Consumer,East,Office Supplies
25/08/2015,Second Class,Consumer,East,Office Supplies
25/08/2015,Second Class,Consumer,East,Office Supplies
02/03/2016,Standard Class,Consumer,West,Furniture
05/04/2016,Standard Class,Corporate,South,Office Supplies
12/06/2017,First Class,Consumer,East,Furniture
12/06/2017,First Class,Consumer,East,Office Supplies
12/06/2017,First Class,Consumer,East,Office Supplies
12/06/2017,First Class,Consumer,East,Office Supplies
12/06/2017,First Class,Consumer,East,Technology
26/12/2015,Second Class,Home Office,Central,Furniture
20/09/2015,Standard Class,Consumer,Central,Furniture
05/11/2018,Standard Class,Consumer,West,Office Supplies
05/11/2018,Standard Class,Consumer,West,Office Supplies
06/11/2017,Second Class,Home Office,West,Furniture
06/11/2017,Second Class,Home Office,West,Furniture
02/02/2018,First Class,Corporate,East,Technology
02/02/2018,First Class,Corporate,East,Office Supplies
02/02/2018,First Class,Corporate,East,Office Supplies
13/10/2017,Standard Class,Consumer,West,Office Supplies
13/10/2017,Standard Class,Consumer,West,Office Supplies
13/10/2017,Standard Class,Consumer,West,Office Supplies
